세금종류,품목,관세율,부가세율,특소세율
의류_및_패션잡화,가방(200만원 이하,8%,10%,0%
의류_및_패션잡화,가방(200만원 초과),8%,10%,0%
의류_및_패션잡화,"브래지어, 거들 등 속옷",13%,10%,0%
의류_및_패션잡화,신발 부품류,8%,10%,0%
의류_및_패션잡화,신발,13%,10%,0%
의류_및_패션잡화,의류,13%,10%,0%
의류_및_패션잡화,가죽의류,13%,10%,0%
의류_및_패션잡화,모피의류(500만원 미만),16%,10%,0%
의류_및_패션잡화,모피의류(500만원 이상),16%,10%,20%
의류_및_패션잡화,모피의류(인조),8%,10%,0%
의류_및_패션잡화,장갑/손수건,8%,10%,0%
의류_및_패션잡화,일반보석,8%,10%,0%
의류_및_패션잡화,고급보석,8%,10%,20%
의류_및_패션잡화,넥타이,13%,10%,0%
의류_및_패션잡화,모자,8%,10%,0%
의류_및_패션잡화,선글라스/안경,8%,10%,0%
의류_및_패션잡화,스타킹/양말,13%,10%,0%
의류_및_패션잡화,시계(200만원 미만),8%,10%,0%
의류_및_패션잡화,시계(200만원 이상),8%,10%,20%
의류_및_패션잡화,신변장식용품,8%,10%,0%
의류_및_패션잡화,우산,13%,10%,0%
의류_및_패션잡화,장갑,8%,10%,0%
의류_및_패션잡화,타월,13%,10%,0%
의류_및_패션잡화,배낭,8%,10%,0%
의류_및_패션잡화,헤어 악세서리,8%,10%,0%
의류_및_패션잡화,벨트(의류착용),13%,10%,0%
의류_및_패션잡화,벨트(공업용),8%,10%,0%
의류_및_패션잡화,원단,10%,10%,0%
의류_및_패션잡화,캐리어,8%,10%,0%
의류_및_패션잡화,마스크,10%,10%,0%
의류_및_패션잡화,스카프/목도리,13%,10%,0%
의류_및_패션잡화,팔찌,8%,10%,0%
레저/스포츠용품,낚시용품,8%,10%,0%
레저/스포츠용품,망원경/부품류,8%,10%,0%
레저/스포츠용품,수영용품,8%,10%,0%
레저/스포츠용품,자전거,8%,10%,0%
레저/스포츠용품,텐트,13%,10%,0%
레저/스포츠용품,기타레저용품,8%,10%,0%
레저/스포츠용품,망원경,8%,10%,0%
레저/스포츠용품,자전거타이어,5%,10%,0%
레저/스포츠용품,골프용품,8%,10%,0%
레저/스포츠용품,골프채,8%,10%,0%
레저/스포츠용품,공,8%,10%,0%
레저/스포츠용품,라켓,8%,10%,0%
레저/스포츠용품,수상스키/윈드서핑,8%,10%,0%
레저/스포츠용품,수영용품,8%,10%,0%
레저/스포츠용품,스케이트,8%,10%,0%
레저/스포츠용품,스키용품,8%,10%,0%
레저/스포츠용품,스포츠용 헬멧,8%,10%,0%
레저/스포츠용품,스포츠용 글러브,13%,10%,0%
레저/스포츠용품,스포츠용 신발,13%,10%,0%
레저/스포츠용품,운동용구,8%,10%,0%
레저/스포츠용품,자전거 관련제품,8%,10%,0%
레저/스포츠용품,야구용품,8%,10%,0%
레저/스포츠용품,등산용품,8%,10%,0%
레저/스포츠용품,스포츠의류,13%,10%,0%
레저/스포츠용품,러닝머신,8%,10%,0%
레저/스포츠용품,도검,0%,10%,0%
레저/스포츠용품,칼(레저용칼),8%,10%,0%
레저/스포츠용품,카약,8%,10%,0%
레저/스포츠용품,등산용품,8%,10%,0%
전자제품,전자수첩,0%,10%,0%
전자제품,TV(정격소비전력 300W 이상),8%,10%,3.5%
전자제품,TV,8%,10%,0%
전자제품,전자책/신디사이저,8%,10%,0%
전자제품,휴대폰,0%,10%,0%
전자제품,MP3,8%,10%,0%
전자제품,가전기기,8%,10%,0%
전자제품,면도기/모발제거기,8%,10%,0%
전자제품,무선원격조절기,8%,10%,0%
전자제품,믹서기,8%,10%,0%
전자제품,손전등,8%,10%,0%
전자제품,오븐,8%,10%,0%
전자제품,재봉기,8%,10%,0%
전자제품,전기다리미,8%,10%,0%
전자제품,전동칫솔,8%,10%,0%
전자제품,전자계산기,0%,10%,0%
전자제품,전자사전,0%,10%,0%
전자제품,전화기,0%,10%,0%
전자제품,커피메이커,8%,10%,0%
전자제품,토스터,8%,10%,0%
전자제품,헤어드라이기,8%,10%,0%
전자제품,공기청정기,0%,10%,0%
전자제품,휴대폰 충전기,0%,10%,0%
전자제품,건전지 충전기,8%,10%,0%
전자제품,전기테이프,6.5%,10%,0%
전자제품,제로기,8%,10%,0%
전자제품,VR 기기,8%,10%,0%
전자제품,혈당측정기,8%,10%,0%
전자제품,청소기,8%,10%,0%
전자제품,3D프린터,8%,10%,0%
전자제품,커피로스터기,8%,10%,0%
전자제품,카메라 달린 드론,4%,10%,0%
전자제품,게임기,0%,10%,0%
컴퓨터 관련용품,PDA/Handheld PC,0%,10%,0%
컴퓨터 관련용품,노트북PC,0%,10%,0%
컴퓨터 관련용품,노트북 부문품,0%,10%,0%
컴퓨터 관련용품,노트북/PDA 케이스,8%,10%,0%
컴퓨터 관련용품,노트북/PDA 가방,8%,10%,0%
컴퓨터 관련용품,데스크탑PC,0%,10%,0%
컴퓨터 관련용품,태블릿 PC,0%,10%,0%
컴퓨터 관련용품,PC부문품,0%,10%,0%
컴퓨터 관련용품,메모리 모듈,0%,10%,0%
컴퓨터 관련용품,모뎀/라우터,0%,10%,0%
컴퓨터 관련용품,키보드/RAM/PDA,0%,10%,0%
컴퓨터 관련용품,서버 컴퓨터,0%,10%,0%
컴퓨터 관련용품,스캐너/프린터/마우스,0%,10%,0%
컴퓨터 관련용품,유, 무선랜카드,0%,10%,0%
컴퓨터 관련용품,포트(노트북 주변장치),8%,10%,0%
컴퓨터 관련용품,스타일러스 펜,0%,10%,0%
컴퓨터 관련용품,헤드폰/이어폰,8%,10%,0%
컴퓨터 관련용품,CD writer,0%,10%,0%
컴퓨터 관련용품,CPU,0%,10%,0%
컴퓨터 관련용품,CPU 쿨러/아답터,0%,10%,0%
컴퓨터 관련용품,DISK DRIVE,0%,10%,0%
컴퓨터 관련용품,마우스,0%,10%,0%
컴퓨터 관련용품,모니터,0%,10%,0%
컴퓨터 관련용품,조이스틱류,0%,10%,0%
컴퓨터 관련용품,키보드,0%,10%,0%
컴퓨터 관련용품,타블렛,0%,10%,0%
컴퓨터 관련용품,3D프린터,8%,10%,0%
컴퓨터 관련용품,PC카메라,8%,10%,0%
컴퓨터 관련용품,이동저장장치(Zip/Click),0%,10%,0%
컴퓨터 관련용품,CD-ROM/R/RW,0%,10%,0%
컴퓨터 관련용품,Diskette,0%,10%,0%
컴퓨터 관련용품,HDD / FDD,0%,10%,0%
컴퓨터 관련용품,Memory Chip,0%,10%,0%
컴퓨터 관련용품,CARD & BOARD,0%,10%,0%
컴퓨터 관련용품,ROM/RAM,0%,10%,0%
컴퓨터 관련용품,빔프로젝터,8%,10%,0%
컴퓨터 관련용품,마우스패드,6.5%,10%,0%
컴퓨터 관련용품,ssd,0%,10%,0%
식품,초콜릿/캔디,8%,10%,0%
식품,소스,8%,10%,0%
식품,잼,30%,10%,0%
식품,인조꿀(6병까지),243%,10%,0%
식품,정연꿀(5kg까지),243%,10%,0%
식품,"비스킷, 쿠키, 크래커",5%,10%,0%
식품,"가루 믹스(코코아, 율무차)",8%,10%,0%
식품,차(TEA)/커피,40%,10%,0%
식품,위스키,30%,10%,0%
식품,소주,30%,10%,0%
식품,맥주,30%,10%,0%
식품,와인,15%,10%,0%
식품,청주,15%,10%,0%
식품,보드카,20%,10%,0%
식품,기타 주류,15%,10%,0%
식품,데킬라,20%,10%,0%
식품,향신료(후추),8%,10%,0%
식품,향신료(고추),270%,10%,0%
식품,향신료(바닐라),8%,10%,0%
식품,향신료(토마토케첩),8%,10%,0%
식품,향신료(고추장),45%,10%,0%
식품,향신료(마요네즈),8%,10%,0%
식품,퀴노아,800.3%,10%,0%
식품,발효 과실주 및 곡물 발효주,15%,10%,0%
식품,베르무트,15%,10%,0%
식품,곡물 발효주 중 약주,15%,10%,0%
식품,곡물 발효주 중 탁주,15%,10%,0%
식품,캡슐커피,8%,10%,0%
식품,꼬낙,15%,10%,0%
식품,말린콩,487%,10%,0%
식품,가축용 소금,8%,10%,0%
식품,베이커리제조용혼합물,513%,10%,0%
식품,홍삼 추출액,754.3%,10%,0%
식품,분유,36%,0%,0%
식품,보리,269%,10%,0%
식품,버터,89%,10%,0%
식품,땅콩(조리하지 않은 것),230.5%,10%,0%
식품,땅콩(조리된것),63.9%,0%,0%
식품,포도주,15%,10%,0%
유아용품,목욕통,8%,10%,0%
유아용품,목욕통(플라스틱),6.5%,10%,0%
유아용품,보행기,0%,10%,0%
유아용품,이유식,36%,10%,0%
유아용품,수유관련 용품,8%,10%,0%
유아용품,수유관련 용품(플라스틱),6.5%,10%,0%
유아용품,안전용품,8%,10%,0%
유아용품,유모차,5%,10%,0%
유아용품,유모차 부품,5%,10%,0%
유아용품,카시트,0%,10%,0%
유아용품,유아용 의류,8%,10%,0%
유아용품,젖병류,8%,10%,0%
유아용품,젖병류(플라스틱),6.5%,10%,0%
유아용품,기저귀(종이/면),8%,10%,0%
유아용품,수영복,13%,10%,0%
유아용품,체온계,8%,10%,0%
침구/커튼,매트리스,8%,10%,0%
침구/커튼,양탄자/러그(일반),10%,10%,0%
침구/커튼,양탄자/러그(고급),10%,10%,20%
침구/커튼,이불,8%,10%,0%
침구/커튼,침대덮개,13%,10%,0%
침구/커튼,커버,13%,10%,0%
침구/커튼,커튼,13%,10%,0%
침구/커튼,"쿠션, 베개, 방석",8%,10%,0%
도서 및 CD,"레코드판,LD",8%,10%,0%
도서 및 CD,서책 및 잡지류,0%,10%,0%
도서 및 CD,"공 CD,DVD",0%,10%,0%
도서 및 CD,CD 음반,8%,10%,0%
도서 및 CD,DVD Title,8%,10%,0%
도서 및 CD,S/W,0%,10%,0%
도서 및 CD,Video Tape,0%,10%,0%
도서 및 CD,게임CD,0%,10%,0%
도서 및 CD,카드류,0%,10%,0%
건강보조식품,다이어트 제품,8%,10%,0%
건강보조식품,영양제류,8%,10%,0%
건강보조식품,Vitamin 류,8%,10%,0%
바디/헤어케어 용품,구강 위생 제품,6.5%,10%,0%
바디/헤어케어 용품,두발용 제품,6.5%,10%,0%
바디/헤어케어 용품,면도용 제품,6.5%,10%,0%
바디/헤어케어 용품,목욕용품,6.5%,10%,0%
바디/헤어케어 용품,샴푸류,6.5%,10%,0%
바디/헤어케어 용품,의약품,8%,10%,0%
바디/헤어케어 용품,응급치료용품,8%,10%,0%
바디/헤어케어 용품,기초화장품,6.5%,10%,0%
바디/헤어케어 용품,색조화장품,6.5%,10%,0%
바디/헤어케어 용품,화장품 도구,6.5%,10%,0%
바디/헤어케어 용품,미용용품,6.5%,10%,0%
바디/헤어케어 용품,향수,6.5%,10%,0%
바디/헤어케어 용품,손소독제,6.5%,10%,0%
바디/헤어케어 용품,치실,8%,10%,0%
악기,기타악기,8%,10%,0%
악기,악기부품,8%,10%,0%
악기,타악기,8%,10%,0%
악기,현악기,8%,10%,0%
예술품/수집품,그림,8%,10%,0%
예술품/수집품,그림(손으로 그린 제품),0%,10%,0%
예술품/수집품,일반도자제품,8%,10%,0%
예술품/수집품,장식품,8%,10%,0%
예술품/수집품,우표,0%,10%,0%
예술품/수집품,"조각, 조상",8%,10%,0%
예술품/수집품,"판화, 인쇄화, 석판화",0%,10%,0%
예술품/수집품,골동품,0%,10%,0%
흡연용품,궐련,40%,10%,0%
흡연용품,전자담배 용액,6.5%,10%,0%
완구,기타 완구,8%,10%,0%
완구,바퀴가 있는 완구 (세발자전거 포함),0%,10%,0%
완구,비디오 게임용구,0%,10%,0%
완구,오락용품,0%,10%,0%
완구,인형,8%,10%,0%
완구,조립식 완구 (레고 등),0%,10%,0%
완구,사행성 오락 (화투),0%,10%,0%
완구,전기식 기차,0%,10%,0%
주방용품,소품(포크/나이프/국자 등),8%,10%,0%
주방용품,소품(플라스틱),6.5%,10%,0%
주방용품,식기(도자제품),8%,10%,0%
주방용품,식기(유리제품),8%,10%,0%
주방용품,커피세트/티세트,8%,10%,0%
주방용품,테이블커버,13%,10%,0%
애완용품,애완용 소품류,8%,10%,0%
애완용품,애완용 간식,8%,10%,0%
애완용품,애완용 의류,8%,10%,0%
애완용품,동물용 보조사료,50.6%,10%,0%
특수 세율이 붙는 상품,와인,15%,10%,0%
자동차용품,자동차 오일 / 엔진오일,7%,10%,0%
자동차용품,고무제 타이어 (신품),5%,10%,0%
자동차용품,고무제 타이어 (재생품),8%,10%,0%
자동차용품,자동차부품,8%,10%,0%
기타잡화,양초,6.5%,10%,0%
기타잡화,임신/배란테스터기,0%,10%,0%
기타잡화,생리컵,6.5%,10%,0%
기타잡화,생리대,0%,10%,0%
기타잡화,휠체어,0%,10%,0%
기타잡화,청력증폭기,8%,10%,0%
